MODEL,VENDOR,MODEL_GSM,YEAR_RELEASED_GSM,MONTH_RELEASED_GSM,TIME_RELEASED_GSM,PRICE_RELEASED_GSM,DIAGONAL_SCREEN_SIZE_GSM,DETAIL_NAME_GSM
d2305,sony,d 2403,2015,NA,NA,200,4.4,released as sony xperia m2 aqua
sm-n9100,samsung,galaxy note 4 duos,2014,10,2014.75,500,5.7,also known as samsung galaxy note4 (dual sim) n9100
q10,blackberry,q10,2013,4,2013.25,170,3.1,q10
l160l,lg,optimus lte2,2012,8,2012.583333,210,4.7,"for south korea
also known as lg optimus lte ii, lg f160s, lg f160k, lg f160l"
e975,lg,optimus gj e975w,2013,6,2013.416667,270,4.7,e975
sm-t230,samsung,galaxy tab 4 7.0,2014,5,2014.333333,190,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung t230, galaxy tab4 7.0 wi-fi"
play 6x-1000,xolo,play 6x-1000,2014,6,2014.416667,NA,5,play 6x-1000
t1-a21l,huawei,mediapad t1 10,2015,3,2015.166667,180,9.6,NA
gt-s7275,samsung,galaxy ace 3,2013,7,2013.5,130,4,also known as samsung galaxy ace 3 3g s7270; samsung galaxy ace 3 lte s7275; samsung galaxy ace 3 s7272 duos with dual-sim card slots
mi 4s,xiaomi,mi 4s,2016,3,2016.166667,300,5,mi 4s
pixel xl,google,pixel xl,2016,10,2016.75,820,5.5,pixel xl
sm-a9000,samsung,galaxy a9 (2016),2016,1,2016,460,6,also known as samsung galaxy a9 (2016) duos with dual-sim card slots
s510,acer,liquid s1,2013,8,2013.583333,320,5.7,also available as acer liquid s1 duo with dual-sim card slots
sm-g357,samsung,galaxy ace style lte g357,2014,9,2014.666667,200,4.3,"also known as:
samsung galaxy ace 4 g357fz
samsung galaxy ace style g357fz"
k50a40,lenovo,k3 note,2015,3,2015.166667,150,5.5,also known as lenovo a7000 turbo in india
e975k,lg,optimus g e975,2012,11,2012.833333,160,4.7,"also known as lg optimus g e973, lg optimus g e971, lg-f180"
sm-t560,samsung,galaxy tab e 9.6,2015,7,2015.5,200,9.6,"versions:
samsung t560 with wi-fi only support
samsung t561 with 3g/wi-fi support"
3830,blackberry,4g lte playbook,2012,8,2012.583333,470,7,"tablet with no support for gsm voice communication, sms, and mms."
g510-0251,huawei,ascend g510,2013,4,2013.25,100,4.5,also known as ascend g510 u8951 with dual-sim card slots
sm-g9250,samsung,galaxy s6 edge,2015,4,2015.25,450,5.1,"also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
d682,lg,g pro lite,2013,11,2013.833333,250,5.5,d682
sm-g7105,samsung,galaxy grand 2,2014,1,2014,180,5.25,"versions: samsung galaxy grand 2 g7105 (3g/lte)
also known as samsung galaxy grand 2 g7102 with dual-sim card slots
"
wax,wiko,wax,2014,4,2014.25,200,4.7,wax
c2004,sony,xperia m,2013,8,2013.583333,130,4,c2004
a269i,lenovo,a269i,2013,10,2013.75,70,3.5,a269i
x2-ap,lenovo,vibe x2 pro,2015,4,2015.25,330,5.3,NA
c5303,sony,xperia sp,2013,4,2013.25,180,4.6,c5303
sm-t350,samsung,galaxy tab a 8.0,2015,5,2015.333333,210,8,versions: t350 (wi-fi); t355 (3g/lte)
stv100,blackberry,priv,2015,11,2015.833333,700,5.4,NA
le x820,leeco,le max 2,2016,5,2016.333333,350,5.7,NA
a44,micromax,superfone punk a44,2012,8,2012.583333,60,3.5,a44
y520-u22,huawei,ascend y520,2014,12,2014.916667,80,4.5,NA
rm-1152,microsoft,lumia 650,2016,2,2016.083333,150,5,also known as microsoft lumia 650 dual sim with dual-sim card slots
e6553,sony,xperia z3+,2015,6,2015.416667,340,5.2,e6553
sm-j111,samsung,galaxy j1 ace,2015,10,2015.75,140,4.3,"versions: j110m (new zealand, latam); j110f (australia, africa, uae); j110g (malaysia, indonesia, singapore); j110l with no lte (brazil)
also known as samsung galaxy j1 ace duos with dual-sim card slots; samsung galaxy j1 ace neo j111f"
hongmi 2,xiaomi,redmi 2,2015,1,2015,130,4.7,hongmi 2
sm-t255,samsung,galaxy on7,2015,11,2015.833333,180,5.5,"versions: g600fy (india, brazil); galaxy wide g600s (korea)"
2ps6500,htc,desire 10 lifestyle,2016,9,2016.666667,260,5.5,NA
d826w,htc,desire 826 dual sim,2015,3,2015.166667,200,5.5,NA
h961n,lg,v10,2015,10,2015.75,400,5.7,"versions: h960a (europe); h900 (at&t), h901 (t-mobile), vs990 (verizon)"
d5103,sony,xperia t3,2014,7,2014.5,200,5.3,NA
i9500,unknown,i9500 galaxy s4,2013,4,2013.25,320,5,i9500
gt-i8200,samsung,i8200 galaxy s iii mini ve,2014,3,2014.166667,180,4,"also known as samsung i8200 galaxy s iii mini value edition, i8200 galaxy s3 mini 
available as samsung i8200n galaxy s iii mini with nfc"
z10,blackberry,z10,2013,1,2013,230,4.2,z10
desire 500,htc,desire 500,2013,9,2013.666667,180,4.3,desire 500
jimmy,wiko,jimmy,2014,11,2014.833333,NA,4.5,jimmy
pg58100,htc,sensation,2011,5,2011.333333,120,4.3,previously rumored as htc pyramid
a889,lenovo,a889,2014,5,2014.333333,120,6,a889
chc-u01,huawei,honor 4c,2015,4,2015.25,170,5,also known as huawei g play mini
slate6 voicetab,hp,slate6 voicetab ii,2014,11,2014.833333,200,6,slate6 voicetab
c2005,sony,xperia m,2013,8,2013.583333,130,4,c2005
lumia 550,microsoft,lumia 550,2015,12,2015.916667,90,4.7,lumia 550
d826d,htc,desire 825,2016,4,2016.25,240,5.5,also known as htc desire 825 dual sim with dual-sim card slots
s55,tiger,s5530 maverick ii,2016,6,2016.416667,NA,5.5,s55
sm-g388,samsung,galaxy xcover 3,2015,4,2015.25,220,4.5,also known as samsung g388f
sky,starmobile,galaxy s ii skyrocket hd i757,2012,1,2012,430,4.65,sky
aqua n8,nokia,n8,2010,10,2010.75,140,3.5,NA
xt1068,motorola,moto g (2nd gen),2014,9,2014.666667,160,5,xt1068
x170,lg,l prime,2014,11,2014.833333,130,5,"also known as lg l prime dual chip d337
for brazil"
a880,lenovo,a880,2014,1,2014,130,6,a880
xt1033,motorola,moto g dual sim (3rd gen),2015,7,2015.5,170,5,"also known as motorola moto g dual sim (gen 3), motorola moto g3 dual sim"
che2-ul00,huawei,honor 4x,2014,10,2014.75,200,5.5,also known as huawei glory play 4x
tb3-710f,lenovo,tab3 7,2016,4,2016.25,80,7,NA
x9077,oppo,find 7a,2014,3,2014.166667,370,5.5,"also known as oppo find 7 fullhd, oppo find 7 fhd"
marathon m5,gionee,marathon m5 mini,2016,2,2016.083333,120,5,marathon m5
sm-t365,samsung,galaxy tab active lte,2014,12,2014.916667,600,8,"tablet with support for gsm voice communication, sms, and mms
also known as samsung t365"
a7-10f,lenovo,tab 2 a7-10,2015,1,2015,90,7,"this is not a gsm device, it will not work on any gsm network worldwide."
h850,lg,g5,2016,4,2016.25,430,5.3,h850
one a9,htc,one a9s,2016,11,2016.833333,350,5,one a9
m910x,htc,desire eye,2014,11,2014.833333,380,5.2,NA
gt-i8730,samsung,galaxy express i8730,2013,3,2013.166667,180,4.5,NA
hongmi,xiaomi,redmi 2,2015,1,2015,130,4.7,hongmi
che2-l11,huawei,honor 4x,2014,10,2014.75,200,5.5,also known as huawei glory play 4x
a850+,lenovo,a850+,2014,4,2014.25,160,5.5,a850+
nxt-al10,huawei,mate 8,2015,11,2015.833333,430,6,also known as huawei ascend mate8
eva-al10,huawei,p9 plus,2016,5,2016.333333,600,5.5,versions: vie-l09 (single sim); vie-l29 (dual sim)
sm-n7507,samsung,galaxy note 3 neo duos,2014,2,2014.083333,410,5.5,"also known as: 
- samsung galaxy note 3 neo dual sim n7502"
gt-n5110,samsung,galaxy note 8.0 wi-fi,2013,4,2013.25,280,8,gt-n5110
s510e,htc,desire sv,2012,11,2012.833333,270,4.3,NA
sm-p600,samsung,galaxy on7,2015,11,2015.833333,180,5.5,"versions: g600fy (india, brazil); galaxy wide g600s (korea)"
y625-u32,huawei,y625,2015,4,2015.25,130,5,NA
sm-t330,samsung,galaxy tab 4 8.0,2014,6,2014.416667,270,8,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung t330, galaxy tab4 8.0 wi-fi"
sm-g900w8,samsung,galaxy s5,2014,4,2014.25,360,5.1,"versions: g900f (europe), g900i (asia, australia), g900m (vodafone), g900a (at&t), g900t (t-mobile), g900w8 (canada), g900k/g900l/g900s (korea)"
scc-u21,huawei,honor holly 3,2016,10,2016.75,140,5.5,also known as huawei y6 ii
smart 8,huawei,p8 lite (2017),2017,1,2017,240,5.2,also known as huawei honor 8 lite
sm-e7000,samsung,galaxy e7,2015,2,2015.083333,270,5.5,"versions: e7000, e7009, e700f, e700f/ds, e700h, e700h/dd, e700h/ds, e700m, e700m/ds
also known as samsung galaxy e7 duos with dual-sim card slots"
blade a610,zte,blade a610,2016,9,2016.666667,130,5,blade a610
b2016,zte,axon mini,2015,11,2015.833333,330,5.2,NA
nx531j,zte,nubia z11 max,2016,6,2016.416667,360,6,NA
g610-u00,huawei,g610s,2013,8,2013.583333,150,5,NA
a21,karbonn,grand s ii,2014,12,2014.916667,180,5.5,a21
gt-p3113,samsung,galaxy tab 3 8.0,2013,7,2013.5,270,8,"tablet with support for gsm voice communication, sms, and mms (t311/t315)
tablet with no support for gsm voice communication, sms, and mms (t310)
also known as:
samsung galaxy tab 3 8.0 wi-fi
samsung galaxy tab 3 8.0 3g
samsung galaxy tab 3 8.0 lte"
gt-i9192,samsung,i9190 galaxy s4 mini,2013,7,2013.5,230,4.3,also known as samsung i9190 galaxy s iv mini; samsung i9190 galaxy s4 mini duos with dual-sim card slots
b1-730,acer,iconia one 7 b1-730,2014,6,2014.416667,90,7,b1-730
a311,micromax,a310 canvas nitro,2014,9,2014.666667,170,5,NA
g610-t11,huawei,g610s,2013,8,2013.583333,150,5,NA
sgh-t999,samsung,galaxy s iii t999,2012,6,2012.416667,310,4.8,sgh-t999
e5603,sony,xperia m5,2015,9,2015.666667,270,5,e5603
p714,lg,optimus l7 ii p710,2013,3,2013.166667,180,4.3,p714
d2005,sony,xperia e1 ii,2015,NA,NA,180,4,unofficial preliminary specifications
kiw-l21,huawei,honor 5x,2015,11,2015.833333,300,5.5,"also known as huawei honor x5, huawei gr5"
one v,htc,one v,2012,4,2012.25,130,3.7,one v
e1003,oneplus,x,2015,11,2015.833333,270,5,NA
v8 plus,huawei,honor v8,2016,5,2016.333333,380,5.7,NA
sm-g9200,samsung,galaxy s6,2015,4,2015.25,410,5.1,"curved screen version available - samsung galaxy s6 edge
versions: g9200 (hong kong), g9208 (china), g9208/ss (china), g9209 (china), g920a (at&t), g920f (global), g920fd (pakistan, philippines), g920i (latam, singapore, india, australia), g920s (korea), g920t (t-mobile)"
h962,lg,v10,2015,10,2015.75,400,5.7,"versions: h960a (europe); h900 (at&t), h901 (t-mobile), vs990 (verizon)"
r819t,oppo,r819,2013,9,2013.666667,250,4.7,NA
sch-i545,verizon,galaxy s4 cdma,2013,5,2013.333333,440,5,sch-i545
b1-710,acer,iconia tab b1-710,2013,11,2013.833333,110,7,b1-710
sm-g9287,samsung,galaxy s6 edge+,2015,8,2015.583333,530,5.7,"versions: g928f (europe); g928g (india); g928t (t-mobile); g928a (at&t); g928i (australia, new zealand, singapore)"
sm-g906,samsung,galaxy s5 lte-a g906s,2014,7,2014.5,550,5.1,"for korea
also known as samsung galaxy s5 lte-a g906s"
gt-s5660,samsung,galaxy gio s5660,2011,3,2011.166667,110,3.2,NA
a48,videocon,vibe k4 note,2016,1,2016,190,5.5,a48
sgh-i337m,samsung,i9505 galaxy s4,2013,4,2013.25,330,5,"also known as:
samsung galaxy s4 value edition i9515
samsung sgh-i337 for at&t
samsung i9505g galaxy s4 google play edition"
b6000-f,lenovo,yoga tablet 8,2013,10,2013.75,190,8,"available with 3g/wi-fi or wi-fi only support
tablet with no support for gsm voice communication"
gt-i8530,samsung,i8530 galaxy beam,2012,7,2012.5,240,4,NA
gt-i9001,samsung,i9001 galaxy s plus,2011,7,2011.5,230,4,also known as samsung galaxy s 2011 edition
gt-i9003,samsung,i9003 galaxy sl,2011,2,2011.083333,150,4,NA
me181c,asus,memo pad 8 me181c,2014,8,2014.583333,150,8,me181c
sm-g720n0,samsung,galaxy grand max,2015,1,2015,260,5.25,"also known as samsung galaxy grand max g720
sm-g7202/d has no lte support"
sm-t813,samsung,galaxy tab s2 9.7,2015,9,2015.666667,520,9.7,"versions (2016): t813n (wi-fi); t819n (3g/lte)
versions (2015): t810 (wi-fi); t815 (3g/lte)"
gt-n5120,samsung,galaxy note 8.0 wi-fi,2013,4,2013.25,280,8,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy note 511, samsung galaxy note 8 wifi, samsung gt-n5110"
sgh-i747,at&t,galaxy s iii i747,2012,7,2012.5,300,4.8,sgh-i747
p760,lg,optimus l9 p760,2012,11,2012.833333,170,4.7,p760
sm-g350,samsung,galaxy core plus,2013,10,2013.75,150,4.3,"versions:
samsung galaxy core plus g3500
samsung galaxy trend 3 g3502 with dual-sim card slots for china"
gt-i9502,samsung,i9502 galaxy s4,2013,4,2013.25,460,5,NA
y15s,vivo,y15s,2015,8,2015.583333,NA,4.5,y15s
tablet s,sony,tablet p,2012,9,2012.666667,210,5.5,tablet s
rio-l01,huawei,g8,2015,10,2015.75,340,5.5,also known as huawei gx8
shv-e330l,samsung,galaxy tab 4 8.0,2014,6,2014.416667,270,8,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung t330, galaxy tab4 8.0 wi-fi"
a1-811,acer,iconia tab a1-811,2013,NA,NA,150,7.9,a1-811
smart touch 710,nokia,lumia 710 t-mobile,2012,1,2012,130,3.7,NA
e430,lg,optimus l3 ii e430,2013,4,2013.25,90,3.2,e430
d2306,sony,d 2403,2015,NA,NA,200,4.4,released as sony xperia m2 aqua
3840,dell,venue 8 7000,2015,1,2015,250,8.4,"versions:
dell venue 8 7000 v7840 (wi-fi)
dell venue 8 7000 (wi-fi/lte) - coming soon"
d50,icoo,optimus f6,2013,9,2013.666667,200,4.5,d50
d2004,sony,xperia e1 ii,2015,NA,NA,180,4,unofficial preliminary specifications
k50-t3s,lenovo,k3 note,2015,3,2015.166667,150,5.5,also known as lenovo a7000 turbo in india
h840,lg,g5 se,2016,6,2016.416667,550,5.3,h840
me180a,asus,memo pad 8 me180a,2013,11,2013.833333,150,8,me180a
ph39100,htc,vivid,2011,11,2011.833333,160,4.5,for at&t
sgpt12,sony,xperia tablet s,2012,9,2012.666667,190,9.4,"tablet with no support for gsm voice communication, sms, and mms"
d2203,sony,xperia e3,2014,9,2014.666667,170,4.5,d2203
goa,wiko,goa,2014,8,2014.583333,50,3.5,goa
f5121,sony,xperia xa dual,2016,6,2016.416667,300,5,NA
p705f,lg,optimus l7 p700,2012,5,2012.333333,120,4.3,also known as lg optimus l7 p705 for china
hm 1sw,xiaomi,redmi note 4,2017,1,2017,160,5.5,NA
e451g,lg,optimus l5 ii e460,2013,4,2013.25,140,4,NA
sm-c7000,samsung,galaxy a7 duos,2015,2,2015.083333,370,5.5,"versions: a7000, a7009, a700h, a700yd"
shv-e210l,samsung,galaxy tab 3 7.0 wifi,2013,7,2013.5,140,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
sch-i535,samsung,galaxy s iii cdma,2012,7,2012.5,280,4.8,"versions:
samsung sgh-i535 for verizon
samsung sph-l710 for sprint"
sm-g920w8,samsung,galaxy s6 (usa),2015,4,2015.25,500,5.1,"also known as samsung galaxy s6 g920curved screen version available - samsung galaxy s6 edge
versions: g920p (sprint), g920v (verizon), g920r (us cellular), g920w8 (canada)"
sm-g930w8,samsung,galaxy note7,2016,9,2016.666667,850,5.7,"versions: n930 (usa); n930f (europe); n930g (india)
also known as samsung galaxy note7 duos with dual-sim card slots"
shv-e270s,samsung,galaxy ace 3,2013,7,2013.5,130,4,also known as samsung galaxy ace 3 3g s7270; samsung galaxy ace 3 lte s7275; samsung galaxy ace 3 s7272 duos with dual-sim card slots
xt1575,motorola,moto x style,2015,9,2015.666667,450,5.7,also known as moto x pure edition
h990,lg,v20,2016,10,2016.75,640,5.7,h990
a3300-hv,lenovo,a7-30 a3300,2014,5,2014.333333,80,7,available as wi-fi only version with mediatek mt8121m chipset
shogun 10,blackberry,z10,2013,1,2013,230,4.2,NA
c525e,htc,one sv,2013,1,2013,200,4.3,NA
sm-t315,samsung,galaxy tab 3 8.0,2013,7,2013.5,270,8,"tablet with support for gsm voice communication, sms, and mms (t311/t315)
tablet with no support for gsm voice communication, sms, and mms (t310)
also known as:
samsung galaxy tab 3 8.0 wi-fi
samsung galaxy tab 3 8.0 3g
samsung galaxy tab 3 8.0 lte"
tb3-710i,lenovo,tab3 7,2016,4,2016.25,80,7,NA
vns-l21,huawei,p9 lite,2016,4,2016.25,280,5.2,"also known as huawei g9 lite, honor 8 smart (india)"
gt-i9507,samsung,i9502 galaxy s4,2013,4,2013.25,460,5,NA
gt-i8260,samsung,galaxy core i8260,2013,6,2013.416667,160,4.3,available as samsung galaxy core i8262 duos with dual-sim card slots
rm-823,nokia,lumia 900,2012,5,2012.333333,160,4.3,rm-823
moto e2,motorola,moto e (2nd gen),2015,2,2015.083333,130,4.5,moto e2
tb3-730x,lenovo,tab3 7,2016,4,2016.25,80,7,NA
nem-l21,huawei,honor 5c,2016,5,2016.333333,200,5.2,"asia model has fingerprint sensor
also known as huawei honor 7 lite, huawei gt3"
gt-i9000,samsung,i9000 galaxy s,2010,6,2010.416667,120,4,also known as samsung i9008 galaxy s in china
d6633,sony,xperia z3 dual,2014,9,2014.666667,400,5.2,d6633
f3111,sony,xperia xa dual,2016,6,2016.416667,300,5,NA
nexus 9,htc,nexus 9,2014,11,2014.833333,300,8.9,versions: wi-fi and 3g/lte
st26i,sony,xperia j,2012,10,2012.75,140,4,st26i
801e,htc,one a9s,2016,11,2016.833333,350,5,NA
909,nokia,lumia 1020,2013,7,2013.5,400,4.5,909
sm-t113,samsung,galaxy tab 3 lite 7.0 ve,2015,3,2015.166667,120,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 lite wi-fi t113, galaxy tab 3 lite 7"""" ve wi-fi"
sm-a5000,samsung,galaxy a5 duos,2014,11,2014.833333,290,5,"versions: a500f/ds, a500g/ds, a500h/ds, a500m/ds, a5000"
shv-e275k,samsung,galaxy ace 3,2013,7,2013.5,130,4,also known as samsung galaxy ace 3 3g s7270; samsung galaxy ace 3 lte s7275; samsung galaxy ace 3 s7272 duos with dual-sim card slots
9860,blackberry,torch 9860,2011,9,2011.666667,130,3.7,9860
sm-g5308,samsung,galaxy grand prime duos tv,2014,10,2014.75,150,5,also known as samsung galaxy grand prime duos tv g530bt
spin mini,htc,one mini 2,2014,5,2014.333333,440,4.5,NA
305,nex,xperia c,2013,7,2013.5,220,5,305
shv-e120s,samsung,galaxy s ii hd lte,2011,12,2011.916667,180,4.65,shv-e120s
sm-n9006,samsung,galaxy note 3,2013,9,2013.666667,420,5.7,"versions: n9000 (3g); n9005 (3g/lte)
also known as samsung galaxy note iii; samsung galaxy note 3 n9002 with dual-sim card slots"
g7-l01,huawei,ascend g7,2014,10,2014.75,260,5.5,g7-l01
d816x,htc,desire 816 dual sim,2014,5,2014.333333,250,5.5,NA
s700,tcl,s700,2012,NA,NA,NA,3.5,s700
sm-t280,samsung,galaxy tab a 7.0 (2016),2016,3,2016.166667,130,7,versions: t280 (wi-fi only); t285 (4g/wi-fi)
t15,smartdevices,moto e dual sim (2nd gen),2015,3,2015.166667,100,4.5,t15
shw-m250s,samsung,galaxy s6 edge,2015,4,2015.25,450,5.1,"also known as samsung galaxy s6 edge g925
versions: g9250 (china, hk), g925a (at&t), g925f (global), g925fq (turkey), g925i (latam, singapore, india, australia), g925k (korea), g925l, g925s (korea), g925t (t-mobile)"
jk g9200,samsung,galaxy s6 duos,2015,6,2015.416667,500,5.1,NA
sm-g389,samsung,galaxy xcover 3,2015,4,2015.25,220,4.5,also known as samsung g388f
g700-u10,huawei,ascend g700,2013,NA,NA,190,5,NA
s8-50lc,lenovo,tab s8,2014,9,2014.666667,150,8,available as wi-fi only or wi-fi + 3g/4g
blade l2,zte,blade l2,2014,5,2014.333333,130,5,blade l2
hm 1s,xiaomi,redmi 1s,2014,5,2014.333333,90,4.7,also known as xiaomi hongmi 1s
hol-u10,huawei,honor holly 3,2016,10,2016.75,140,5.5,also known as huawei y6 ii
b1-720,acer,iconia b1-720,2014,1,2014,100,7,b1-720
hm note 1s,xiaomi,redmi note 4g,2014,8,2014.583333,160,5.5,NA
le x620,leeco,le 2 pro,2016,4,2016.25,260,5.5,NA
c110e,htc,radar,2011,10,2011.75,140,3.8,"also known as htc omega
htc radar 4g for t-mobile"
sm-p550,samsung,galaxy win i8550,2013,5,2013.333333,170,4.7,available as samsung galaxy grand quattro; samsung galaxy win duos i8552 with dual-sim card slots
g730-c00,huawei,ascend g730,2014,4,2014.25,270,5.5,also known as huawei ascend g730 dual sim
blade vec 4g,zte,blade vec 4g,2014,11,2014.833333,180,5,blade vec 4g
d852,lg,g3,2014,6,2014.416667,300,5.5,d852
p713,lg,optimus l7 ii p710,2013,3,2013.166667,180,4.3,also known as lg optimus l7x p714
sm-j5108,samsung,galaxy j5 prime,2016,10,2016.75,230,5,"also known as samsung galaxy on5 (2016).
versions: g570, g570f/ds (emea); g570y (australia)."
k520,lg,stylus 2,2016,6,2016.416667,190,5.7,k520
rm-917,nokia,lumia 520,2013,4,2013.25,70,4,rm-917
e380,acer,liquid e3,2014,4,2014.25,200,4.7,e380
gt-i8350,samsung,omnia w i8350,2011,10,2011.75,150,3.7,NA
vie-al10,huawei,p9 plus,2016,5,2016.333333,600,5.5,versions: vie-l09 (single sim); vie-l29 (dual sim)
gt-s5282,samsung,galaxy star trios s5283,2014,5,2014.333333,120,3.14,NA
t8686,htc,7 trophy,2010,10,2010.75,90,3.8,NA
chm-u01,huawei,honor 4c,2015,4,2015.25,170,5,also known as huawei g play mini
y336-u02,huawei,y360,2015,6,2015.416667,90,4,also known as huawei y3
one mini 2,htc,one mini 2,2014,5,2014.333333,440,4.5,one mini 2
h1611,huawei,ascend mate2 4g,2014,1,2014,330,6.1,NA
sm-t561,samsung,galaxy tab e 9.6,2015,7,2015.5,200,9.6,"versions:
samsung t560 with wi-fi only support
samsung t561 with 3g/wi-fi support"
z012da,asus,zenfone 3 ze552kl,2016,8,2016.583333,450,5.5,NA
sm-a8000,samsung,galaxy a8 (2016),2016,10,2016.75,270,5.7,"versions: a810f/ds (uae); a810yz (taiwan)
also known as samsung galaxy a8 duos (2016) with dual-sim card slots"
ek-gc100,samsung,galaxy j1,2015,2,2015.083333,110,4.3,"versions: samsung j100f, j100fn, j100h, j100h/dd, j100h/ds, j100m, j100mu
also known as samsung galaxy j1 duos with dual-sim card slots"
d820u,htc,desire 820 dual sim,2014,11,2014.833333,320,5.5,NA
g730-u30,huawei,ascend g730,2014,4,2014.25,270,5.5,also known as huawei ascend g730 dual sim
e1001,oneplus,x,2015,11,2015.833333,270,5,NA
d6502,sony,xperia z2a,2014,7,2014.5,330,5,also known as sony xperia z2a d6563
sm-t355,samsung,galaxy tab a 8.0,2015,5,2015.333333,210,8,versions: t350 (wi-fi); t355 (3g/lte)
st26a,sony,xperia j,2012,10,2012.75,140,4,st26a
desire 820,htc,desire 820g+ dual sim,2015,6,2015.416667,180,5.5,desire 820
h525n,lg,g4c,2015,6,2015.416667,160,5,h525n
lua-u22,huawei,y3ii,2016,6,2016.416667,80,4.5,also known as huawei y3 2
sm-t215,samsung,galaxy tab 3 7.0 wifi,2013,7,2013.5,140,7,"tablet with no support for gsm voice communication, sms, and mms
also known as samsung galaxy tab 3 7.0 p3210, samsung t210"
sgp611,sony,xperia z3 tablet compact,2014,11,2014.833333,380,8,NA
crr-l09,huawei,mate s,2015,10,2015.75,350,5.5,also known as huawei mate s dual sim with dual-sim card slots
rm-1017,nokia,lumia 530,2014,8,2014.583333,100,4,rm-1017
one a9u,htc,one a9s,2016,11,2016.833333,350,5,NA
shv-e220s,samsung,galaxy pop shv-e220,2013,2,2013.083333,110,4.65,for south korea
x500,letv,noir x500,2014,11,2014.833333,100,4.7,x500
gt-s7710,samsung,s7710 galaxy xcover 2,2013,3,2013.166667,190,4,gt-s7710
sm-g3815,samsung,galaxy express 2,2013,10,2013.75,210,4.5,"also known as samsung galaxy express 2 g3815, samsung galaxy express ii"
g620-l72,huawei,ascend g620s,2014,11,2014.833333,180,5,NA
mx4 pro,meizu,mx4 pro,2014,12,2014.916667,400,5.5,mx4 pro
lk430,lg,g pad 7.0,2014,7,2014.5,160,7,also known as lg g pad 7.0 v400
a10-70f,lenovo,a1000,2015,9,2015.666667,60,4,NA
sm-t320,samsung,galaxy tab pro 8.4,2014,2,2014.083333,290,8.4,also known as samsung t320
g620s-ul00,huawei,ascend g620s,2014,11,2014.833333,180,5,NA
v11,vivo,y11,2014,NA,NA,NA,4,NA
scl-l21,huawei,honor holly 3,2016,10,2016.75,140,5.5,also known as huawei y6 ii
sm-g9208,samsung,galaxy s6,2015,4,2015.25,410,5.1,"curved screen version available - samsung galaxy s6 edge
versions: g9200 (hong kong), g9208 (china), g9208/ss (china), g9209 (china), g920a (at&t), g920f (global), g920fd (pakistan, philippines), g920i (latam, singapore, india, australia), g920s (korea), g920t (t-mobile)"
kii-l21,huawei,honor 5x,2015,11,2015.833333,300,5.5,"also known as huawei honor x5, huawei gr5"
shv-e300l,samsung,z3,2015,10,2015.75,110,5,versions: z300h/dd (india)
sm-a7000,samsung,galaxy a7 duos,2015,2,2015.083333,370,5.5,"versions: a7000, a7009, a700h, a700yd"
sm-a7100,samsung,galaxy a7 (2016),2015,12,2015.916667,460,5.5,"versions: a710f (europe); a710m (latin america); a710fd (southeast asia); a7100 (hong kong); a710y (taiwan)
also known as samsung galaxy a7 (2016) duos with dual-sim card slots"
n10,htc,desire 10 lifestyle,2016,9,2016.666667,260,5.5,NA
a710,unknown,galaxy a7 (2016),2015,12,2015.916667,460,5.5,a710
xt910,motorola,razr xt910,2011,11,2011.833333,220,4.3,xt910
sm-j7108,samsung,galaxy j7 (2016),2016,4,2016.25,270,5.5,"versions: j710f, j710fn (emea); j710m (latam); j710h (south africa, pakistan, vietnam)
also known as samsung galaxy j7 (2016) duos with dual-sim card slots
asia/china model with 1080p display and 3 gb ram"
desire 816 dual sim,htc,desire 816 dual sim,2014,5,2014.333333,250,5.5,desire 816 dual sim
shv-e275s,samsung,galaxy ace 3,2013,7,2013.5,130,4,also known as samsung galaxy ace 3 3g s7270; samsung galaxy ace 3 lte s7275; samsung galaxy ace 3 s7272 duos with dual-sim card slots
shw-m500w,samsung,galaxy e5,2015,2,2015.083333,240,5,"versions: e500f, e500h, e500hq, e500m, e500f/ds, e500h/ds, e500m/ds
also known as samsung galaxy e5 duos with dual-sim card slots"
d958,lg,g flex,2013,11,2013.833333,360,6,d958
lumia 430,microsoft,lumia 430 dual sim,2015,5,2015.333333,70,4,lumia 430
a85,nexbox,a859,2014,4,2014.25,140,5,a85
u8685d,huawei,ascend y210d,2013,3,2013.166667,70,3.5,NA
start 2,samsung,galaxy star 2,2014,8,2014.583333,120,3.5,NA
v993w,zte,v5 lux,2015,2,2015.083333,210,5,NA
v500,lg,g pad 8.3,2013,10,2013.75,300,8.3,v500
vie-l09,huawei,p9 plus,2016,5,2016.333333,600,5.5,vie-l09
a8181,htc,desire,2010,3,2010.166667,140,3.7,a8181
desire 601,htc,desire 601,2013,10,2013.75,230,4.5,desire 601
