MODEL,REACH,MARKETING_NAME,VENDOR,PRICE_RELEASED,YEAR_RELEASED,MONTH_RELEASED,TIME_RELEASED,DIAGONAL_SCREEN_SIZE,CAMERA_PIXELS,DISPLAY_HEIGHT,DISPLAY_WIDTH,AGE,Cluster_km7,Cluster_km8,Cluster_km10,Cluster_km12,Cluster_hclust7,Cluster_hclust8,Cluster_hclust10,Cluster_hclust12,ClusterScrCam_km7,ClusterScrCam_km8,ClusterScrCam_km10,ClusterScrCam_km12,ClusterScrCam_hclust7,ClusterScrCam_hclust8,ClusterScrCam_hclust10,ClusterScrCam_hclust12,ClusterScr_km7,ClusterScr_km8,ClusterScr_km10,ClusterScr_km12,ClusterScr_hclust7,ClusterScr_hclust8,ClusterScr_hclust10,ClusterScr_hclust12
Sonic,4,sonic,cherry mobile,830.0,2013.0,12.0,2014.0,4.0,2.0,480.0,320.0,3.1666666666667425,0,5,2,5,3,7,7,3,5,4,6,11,6,6,6,6,4,1,9,0,4,4,1,5
Noir A65,4,noir a65,qmobile,90.0,2013.0,7.0,2013.583333333333,4.0,3.0,800.0,480.0,3.5833333333337123,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
8088,4,one max,htc,160.0,2013.0,4.0,2013.333333333333,5.9,4.0,1920.0,1080.0,3.8333333333337123,1,1,0,11,0,3,1,7,6,3,2,5,5,5,0,10,6,4,4,1,1,0,8,8
C525c,4,one sv,htc,200.0,2013.0,1.0,2013.083333333333,4.3,5.0,800.0,480.0,4.083333333333712,4,7,3,3,0,3,1,7,3,7,0,3,5,5,0,10,3,6,1,8,3,1,4,1
GT-I8150T,4,galaxy w,samsung,160.0,2011.0,10.0,2011.833333333333,3.7,5.0,800.0,480.0,5.333333333333712,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
793,4,793,avvio,320.0,2014.0,4.0,2014.333333333333,5.0,8.0,1280.0,720.0,2.8333333333337123,0,0,5,7,6,6,6,6,4,0,6,6,5,5,0,2,5,2,4,1,6,6,6,6
XT1056,4,moto x sprint,motorola,250.0,2013.0,8.0,2013.666666666667,4.7,10.0,1280.0,720.0,3.4999999999997726,2,6,4,4,0,1,9,9,4,0,8,9,5,5,0,2,6,2,4,1,2,2,2,0
Evo 4G,4,evo 4g,oplus,180.0,2015.0,5.0,2015.416666666667,5.0,8.0,1280.0,720.0,1.7499999999997726,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,3,3,3
E9003,4,e9003,intki,400.0,2013.0,6.0,2013.5,5.3,5.0,854.0,480.0,3.6666666666667425,0,5,8,9,0,1,3,1,4,0,6,6,0,7,7,7,5,2,3,6,6,6,6,6
A66A,4,elevate y,evercoss,110.0,2014.0,10.0,2014.833333333333,5.0,13.0,1280.0,720.0,2.3333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,6,7,2,9,2,2,2,0
Primo GM,4,primo gm,walton,220.0,2015.0,4.0,2015.333333333333,5.0,5.0,854.0,480.0,1.8333333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,2,0,2,1,0,3,3,3
SM-T817,4,galaxy tab s2,samsung,370.0,2015.0,,2015.5,9.7,8.0,2048.0,1536.0,1.6666666666667425,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,1,3,6,10,1,0,0,10
SM-G3812B,4,galaxy s3 slim,samsung,200.0,2014.0,3.0,2014.25,4.52,5.0,960.0,540.0,2.9166666666667425,1,1,0,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
F320,4,g2,lg,180.0,2013.0,3.0,2013.25,5.2,13.0,1920.0,1080.0,3.9166666666667425,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,6,5,4,8,3,1,4,1
A1900,4,a1900,lenovo,170.0,2015.0,7.0,2015.583333333333,4.0,2.0,800.0,480.0,1.5833333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
T1-A22L,4,mediapad t1 10,huawei,180.0,2015.0,3.0,2015.25,9.6,5.0,1280.0,800.0,1.9166666666667425,5,2,6,0,2,2,2,2,0,6,9,10,2,2,2,5,1,3,6,10,1,0,0,4
E400R,4,e400r,lg,70.0,2012.0,2.0,2012.166666666667,3.2,3.15,320.0,240.0,4.999999999999773,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
A828 TC,4,a828 tc,myphone,250.0,2013.0,11.0,2013.916666666667,3.5,3.2,480.0,320.0,3.2499999999997726,1,1,0,11,0,1,3,1,3,5,0,5,0,0,5,11,6,5,5,8,2,2,2,0
Dash 3.5 Ce,4,dash 3.5 ce,blu,70.0,2012.0,9.0,2012.75,3.5,3.15,480.0,320.0,4.4166666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
D271,4,dash music 4.0,blu,90.0,2013.0,9.0,2013.75,4.0,3.15,800.0,480.0,3.4166666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,2,2,2,0
Blaster,4,blaster,just5,400.0,2014.0,6.0,2014.5,5.0,13.0,1280.0,720.0,2.6666666666667425,2,6,7,2,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,5,6,6,6,6
GO984,4,go984,go mobile,190.0,2016.0,5.0,2016.416666666667,4.5,5.0,854.0,480.0,0.7499999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,3,3,3
Eluga Switch,4,eluga switch,panasonic,270.0,2015.0,10.0,2015.833333333333,5.5,13.0,1920.0,1080.0,1.3333333333337123,3,4,1,6,4,4,0,4,1,2,3,4,4,4,4,1,2,0,7,7,0,3,3,3
MS3A,4,login 2,megafon,110.0,2013.0,2.0,2013.166666666667,3.5,3.2,480.0,320.0,3.9999999999997726,1,1,0,11,0,3,1,7,3,7,0,3,0,0,8,8,3,6,5,8,3,1,4,1
iQ1010w,4,iqtab 10,mls,140.0,2016.0,2.0,2016.166666666667,10.0,5.0,800.0,1280.0,0.9999999999997726,5,2,6,0,2,2,2,2,0,6,9,10,2,2,2,5,1,3,6,10,1,0,0,4
GT-S5380D,4,wave y,samsung,90.0,2012.0,11.0,2012.916666666667,3.2,2.0,480.0,320.0,4.249999999999773,4,7,3,3,0,3,1,7,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
RM-915,4,lumia 520,nokia,70.0,2013.0,4.0,2013.333333333333,4.0,5.0,800.0,480.0,3.8333333333337123,1,1,0,11,0,3,1,7,3,5,0,3,0,0,5,11,6,5,5,8,3,1,4,1
SGH-T599,4,galaxy exhibit,samsung,90.0,2013.0,5.0,2013.416666666667,4.0,0.92,800.0,480.0,3.7499999999997726,1,1,0,11,0,3,1,7,3,5,0,3,0,0,5,11,6,5,5,8,3,1,4,1
V909,4,g-slate,lg,190.0,2011.0,5.0,2011.416666666667,8.9,5.0,1280.0,768.0,5.749999999999773,4,7,3,3,0,3,1,11,6,3,2,7,2,2,2,4,1,4,8,2,1,0,8,8
Dash J,4,dash j,blu,40.0,2015.0,9.0,2015.75,4.0,2.0,800.0,480.0,1.4166666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
SGH-T499,4,sgh-t499,samsung,60.0,2011.0,6.0,2011.5,3.15,3.2,320.0,240.0,5.6666666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
GT-S6812i,4,galaxy fame,samsung,120.0,2013.0,3.0,2013.25,3.5,5.0,480.0,320.0,3.9166666666667425,1,1,0,11,0,3,1,7,3,7,0,3,0,0,5,11,3,6,5,8,3,1,4,1
Evo 4G LTE,4,evo 4g lte,sprint,180.0,2012.0,5.0,2012.416666666667,4.7,8.0,1280.0,720.0,4.749999999999773,4,7,3,3,0,1,9,9,3,7,8,9,5,5,0,10,3,6,1,8,3,1,4,1
Pro Q8 Plus,4,pro q8 plus,odys,550.0,2014.0,11.0,2014.916666666667,8.0,2.0,800.0,1280.0,2.2499999999997726,0,0,5,5,6,6,6,6,0,6,9,10,2,2,9,9,4,3,6,10,1,0,0,10
X301,4,x301,dragon,40.0,2013.0,8.0,2013.666666666667,4.5,8.0,960.0,540.0,3.4999999999997726,1,1,4,11,0,1,9,9,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
L930,4,l930,k-touch,370.0,2013.0,7.0,2013.583333333333,4.5,2.0,854.0,480.0,3.5833333333337123,0,5,8,9,0,1,3,1,4,0,6,11,0,7,7,7,5,2,3,6,5,5,5,2
SCH-I535PP,4,galaxy s3,samsung,280.0,2012.0,7.0,2012.583333333333,4.8,8.0,1280.0,720.0,4.583333333333712,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,2,5,2,1,6,5,5,5,2
ME175KG (K00S),4,memo pad hd7,asus,130.0,2014.0,7.0,2014.583333333333,9.4,5.0,800.0,1280.0,2.5833333333337123,1,1,0,11,2,2,2,2,0,6,9,10,2,2,2,4,1,3,6,4,1,0,0,4
Noir X30,4,noir x30,qmobile,180.0,2015.0,5.0,2015.416666666667,4.0,2.0,800.0,480.0,1.7499999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
Iris Fuel 60,4,iris fuel 60,lava,130.0,2014.0,12.0,2015.0,5.0,10.0,1280.0,720.0,2.1666666666667425,5,2,6,1,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
VS870,4,lucid 2,lg,270.0,2013.0,4.0,2013.333333333333,4.3,5.0,960.0,540.0,3.8333333333337123,4,5,8,9,0,1,3,1,3,7,6,9,0,0,5,11,5,2,4,6,3,1,4,1
SM-J320R4,4,galaxy j3,us cellular,150.0,2016.0,1.0,2016.083333333333,5.0,8.0,1280.0,720.0,1.0833333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
A093,4,canvas fire,micromax,90.0,2014.0,7.0,2014.583333333333,4.0,5.0,800.0,480.0,2.5833333333337123,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
V807,4,blade c,zte,130.0,2013.0,4.0,2013.333333333333,4.0,3.15,800.0,480.0,3.8333333333337123,1,1,0,11,0,3,1,7,3,5,0,3,0,0,5,11,6,5,5,8,3,1,4,1
Via M1,4,via m1,casper,130.0,2016.0,1.0,2016.083333333333,5.2,13.0,1920.0,1080.0,1.0833333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
Venue 7 3741,4,venue 7 3741,dell,250.0,2015.0,10.0,2015.833333333333,6.95,2.0,600.0,1024.0,1.3333333333337123,5,2,5,0,2,2,2,2,0,6,9,0,2,2,2,5,2,3,0,4,1,0,0,4
C625A,4,windows phone 8x,htc,170.0,2012.0,11.0,2012.916666666667,4.0,5.0,800.0,480.0,4.249999999999773,4,7,3,3,0,3,1,7,3,7,5,3,0,0,8,8,3,6,1,8,3,1,9,9
F301,4,f301,gionee,250.0,2014.0,1.0,2014.083333333333,4.7,8.0,1280.0,720.0,3.0833333333337123,1,0,4,7,5,5,5,5,4,0,8,6,5,5,0,2,6,5,4,1,2,2,2,0
President Smart 1,4,president smart 1,gfive,80.0,2015.0,,2015.5,4.0,2.0,800.0,480.0,1.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,2,2,2,0
Mi4,4,mi4,xiaomi,300.0,2015.0,3.0,2015.25,5.0,13.0,1920.0,1080.0,1.9166666666667425,3,4,1,6,1,0,4,0,1,2,3,4,4,4,4,1,2,0,7,7,6,6,6,6
Q-Smart QS05,4,q-smart qs05,qmobile,80.0,2013.0,,2013.5,3.5,2.0,480.0,320.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,3,0,0,8,8,6,5,5,8,3,1,4,1
Z936L,4,lever,zte,110.0,2015.0,7.0,2015.583333333333,6.0,8.0,1280.0,720.0,1.5833333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
S1+,4,titanium s1+,karbonn,420.0,2014.0,1.0,2014.083333333333,4.0,5.0,800.0,480.0,3.0833333333337123,0,0,5,5,0,1,3,1,4,0,6,11,0,7,7,7,5,2,3,6,5,5,5,2
Q503U,4,q503u,zte,430.0,2014.0,3.0,2014.25,5.5,8.0,854.0,480.0,2.9166666666667425,0,0,5,5,6,6,6,6,4,0,6,6,5,5,0,2,5,2,3,5,6,6,6,6
SM-N930A,4,galaxy note 7,at&t,850.0,2016.0,9.0,2016.75,5.7,12.2,2560.0,1440.0,0.41666666666674246,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,11
P17,4,harmonia,movimax,240.0,2014.0,2.0,2014.166666666667,7.0,2.0,600.0,1024.0,2.9999999999997726,1,1,0,11,2,2,2,2,6,3,2,0,2,2,2,5,1,4,0,4,1,0,0,4
GT-I9108,4,galaxy s2,samsung,370.0,2011.0,,2011.5,4.3,8.0,800.0,480.0,5.6666666666667425,4,5,8,9,0,1,3,1,4,7,5,9,0,7,7,7,3,6,1,6,5,5,5,2
D390AR,4,f60,lg,100.0,2014.0,10.0,2014.833333333333,4.5,5.0,800.0,480.0,2.3333333333337123,5,2,6,11,2,2,2,2,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
GT-S3570,4,chat 357,samsung,200.0,2012.0,9.0,2012.75,2.4,2.0,240.0,320.0,4.4166666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
Max Plus 5.0,4,max plus 5.0,ione,600.0,2014.0,5.0,2014.416666666667,5.0,8.0,540.0,960.0,2.7499999999997726,0,3,2,5,3,7,7,3,5,4,6,6,6,6,6,6,4,1,9,5,4,4,1,5
X135,4,l60i,lg,90.0,2014.0,8.0,2014.666666666667,4.3,5.0,800.0,480.0,2.4999999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
SGT-7000S,4,note pad s7,singtech,190.0,2014.0,9.0,2014.75,7.0,5.0,600.0,1024.0,2.4166666666667425,1,1,0,7,2,2,2,2,0,3,2,0,2,2,2,5,1,3,0,4,1,0,0,4
SCH-R950,4,galaxy note 2 lte,samsung,350.0,2012.0,,2012.5,5.5,8.0,1280.0,720.0,4.6666666666667425,4,5,8,9,0,1,3,1,4,0,8,9,5,5,0,2,5,2,3,6,5,5,5,2
Be One,4,be one,ulefone,400.0,2014.0,6.0,2014.5,5.5,13.0,1280.0,720.0,2.6666666666667425,2,6,7,2,1,0,4,0,5,4,1,1,3,3,3,3,5,2,3,5,6,6,6,6
S58,4,liquid jade primo,acer,90.0,2016.0,2.0,2016.166666666667,5.5,21.0,1920.0,1080.0,0.9999999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
SM-G930R7,4,galaxy s7,samsung,850.0,2016.0,9.0,2016.75,5.1,12.0,2560.0,1440.0,0.41666666666674246,6,3,2,8,3,7,7,3,5,4,7,8,6,6,6,6,4,1,9,0,4,4,1,11
Primo N1,4,primo n1,walton,330.0,2013.0,8.0,2013.666666666667,5.3,8.0,960.0,540.0,3.4999999999997726,0,5,8,9,6,6,6,6,4,0,8,6,5,5,0,2,5,2,3,6,6,6,6,6
GT-S5830D,4,galaxy ace,samsung,90.0,2011.0,2.0,2011.166666666667,3.5,5.0,480.0,320.0,5.999999999999773,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
Y360-U82,4,y3 lite,huawei,90.0,2016.0,6.0,2016.5,4.0,2.0,800.0,480.0,0.6666666666667425,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
Blade A506,4,blade a506,zte,170.0,2016.0,7.0,2016.583333333333,5.2,8.0,1280.0,720.0,0.5833333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
A255,4,canvas selfie,micromax,240.0,2014.0,2.0,2014.166666666667,4.7,13.0,1280.0,720.0,2.9999999999997726,2,6,7,4,1,0,4,0,4,0,8,1,5,5,0,2,6,5,4,1,2,2,2,0
Studio 5.0 HD LTE,4,studio 5.0 hd lte,blu,150.0,2014.0,12.0,2015.0,5.0,13.0,1280.0,720.0,2.1666666666667425,3,4,1,1,1,0,4,0,1,2,3,4,4,4,4,1,0,7,2,9,2,2,2,0
R1C,4,r1c,oppo,340.0,2015.0,1.0,2015.083333333333,5.0,13.0,1280.0,720.0,2.0833333333337123,2,6,7,6,1,0,4,0,1,2,1,1,3,3,3,3,2,0,7,7,6,6,6,6
RM-887,4,lumia 720t,nokia,110.0,2013.0,,2013.5,4.3,6.7,800.0,480.0,3.6666666666667425,1,1,0,11,0,1,9,9,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
Noir i5 3G,4,noir i5 3g,qmobile,80.0,2014.0,5.0,2014.416666666667,4.7,5.0,1280.0,720.0,2.7499999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
T816,4,telstra smart plus,zte,250.0,2014.0,5.0,2014.416666666667,4.0,2.0,800.0,480.0,2.7499999999997726,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
VS410PP,4,optimus zone,lg,60.0,2013.0,6.0,2013.5,3.2,3.2,320.0,240.0,3.6666666666667425,1,1,0,11,0,3,1,7,3,5,0,3,0,0,8,8,3,5,5,8,3,1,4,1
A111,4,a111,karbonn,190.0,2013.0,5.0,2013.416666666667,5.0,5.0,800.0,480.0,3.7499999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,4,8,3,1,4,1
R823T,4,r823t,oppo,370.0,2013.0,3.0,2013.25,4.0,5.0,800.0,480.0,3.9166666666667425,0,5,8,9,0,1,3,1,4,0,6,11,0,7,7,7,5,2,3,6,5,5,5,2
X310E,4,titan,htc,200.0,2011.0,4.0,2011.333333333333,4.7,8.0,800.0,480.0,5.833333333333712,4,7,3,3,0,1,3,1,3,7,5,9,5,5,0,10,3,6,1,3,3,1,9,9
Mobile Volt,4,mobile volt,cherry,130.0,2015.0,5.0,2015.416666666667,4.0,5.0,800.0,480.0,1.7499999999997726,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,9,0,7,7,7
SCH-R760X,4,galaxy s2,samsung,180.0,2011.0,12.0,2012.0,4.5,8.0,800.0,480.0,5.1666666666667425,4,7,3,3,0,1,3,1,3,7,5,9,5,5,0,10,3,6,1,3,3,1,9,9
U8687,4,u8687,huawei,50.0,2011.0,11.0,2011.916666666667,3.5,3.2,480.0,320.0,5.249999999999773,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
P290,4,canvas tab,micromax,130.0,2015.0,6.0,2015.5,7.0,2.0,600.0,1024.0,1.6666666666667425,5,2,6,0,2,2,2,2,0,3,2,0,2,2,2,5,1,3,0,4,1,0,0,4
W2-U00,4,ascend w2,huawei,150.0,2013.0,12.0,2014.0,4.3,5.0,800.0,480.0,3.1666666666667425,1,1,0,11,0,3,1,7,3,5,0,5,0,0,5,11,6,5,5,8,3,1,4,1
SGH-I847,4,rugby smart,at&t,170.0,2012.0,3.0,2012.25,3.7,5.0,800.0,480.0,4.9166666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
STX Ultra,4,stx ultra,stonex,280.0,2013.0,7.0,2013.583333333333,5.0,8.0,1280.0,720.0,3.5833333333337123,0,5,4,9,0,1,9,9,4,0,8,9,5,5,0,2,5,2,4,6,3,1,4,1
i777,4,i777,onida,170.0,2013.0,10.0,2013.833333333333,5.0,5.0,800.0,480.0,3.3333333333337123,1,1,0,11,0,3,1,7,2,5,0,5,5,5,0,10,6,5,4,8,2,2,2,0
Iris Fuel F1,4,iris fuel f1,lava,80.0,2015.0,9.0,2015.75,5.0,8.0,854.0,480.0,1.4166666666667425,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
C625B,4,windows phone 8x,htc,170.0,2012.0,11.0,2012.916666666667,4.29,8.0,1280.0,720.0,4.249999999999773,4,7,4,3,0,1,9,9,3,7,8,9,5,5,0,10,3,6,1,8,3,1,4,1
Up HD,4,up hd,starmobile,150.0,2015.0,10.0,2015.833333333333,4.7,8.0,1280.0,720.0,1.3333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
A24,4,a24,avus,230.0,2014.0,8.0,2014.666666666667,5.0,13.0,1280.0,720.0,2.4999999999997726,2,6,1,4,1,0,4,0,1,2,3,4,4,4,4,1,6,0,4,1,2,2,2,0
Mira,4,mira,odys,440.0,2015.0,10.0,2015.833333333333,7.0,2.0,1024.0,600.0,1.3333333333337123,0,0,5,5,6,6,6,6,0,6,9,10,2,2,2,5,4,1,7,10,1,0,0,10
X2-02,4,x2-02,nokia,120.0,2011.0,6.0,2011.5,2.2,2.0,320.0,240.0,5.6666666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
SM-C105A,4,galaxy s4 zoom,at&t,180.0,2013.0,1.0,2013.083333333333,4.3,16.0,960.0,540.0,4.083333333333712,2,6,4,4,1,0,4,0,4,0,8,9,5,5,0,2,3,6,1,8,3,1,4,1
Y200,4,y200,doogee,110.0,2015.0,5.0,2015.416666666667,5.5,13.0,1280.0,720.0,1.7499999999997726,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
S7Q,4,s7q,zte,520.0,2015.0,3.0,2015.25,7.0,2.0,600.0,1024.0,1.9166666666667425,0,0,5,5,6,6,6,6,0,6,9,10,2,2,2,5,4,1,9,0,1,0,0,10
Q1001,4,q1001,xolo,170.0,2015.0,4.0,2015.333333333333,5.0,5.0,854.0,480.0,1.8333333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
Iris 406Q,4,iris 406q,lava,80.0,2014.0,4.0,2014.333333333333,4.0,5.0,800.0,480.0,2.8333333333337123,1,1,0,11,2,2,2,2,2,5,0,5,0,0,5,11,6,5,5,9,2,2,2,0
Blade A5 Pro,4,blade a5 pro,zte,170.0,2016.0,7.0,2016.583333333333,4.0,5.0,800.0,480.0,0.5833333333337123,5,2,6,0,2,2,2,2,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
EasyPhone 6,4,easyphone 6,best buy,200.0,2014.0,11.0,2014.916666666667,6.0,2.0,540.0,960.0,2.2499999999997726,1,1,0,11,2,2,2,2,2,1,4,0,1,1,1,0,2,0,4,1,0,7,7,7
NX402,4,nubia z5 mini,zte,230.0,2013.0,12.0,2014.0,4.7,13.0,1280.0,720.0,3.1666666666667425,2,6,4,4,1,0,4,0,4,0,8,1,5,5,0,2,6,5,4,1,2,2,2,0
Connect 501,4,blanc 4go,essentiel b,240.0,2014.0,2.0,2014.166666666667,5.0,5.0,960.0,540.0,2.9999999999997726,1,1,0,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
Z813,4,overture 2,zte,430.0,2015.0,3.0,2015.25,4.5,5.0,854.0,480.0,1.9166666666667425,0,0,5,5,6,6,6,6,4,0,6,6,1,1,1,0,2,1,7,5,6,6,6,6
A6020l37,4,vibe k5 plus,lenovo,140.0,2016.0,4.0,2016.333333333333,5.0,13.0,1920.0,1080.0,0.8333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
Life Play Mini,4,life play mini,blu,260.0,2014.0,10.0,2014.833333333333,4.0,3.15,800.0,480.0,2.3333333333337123,1,0,5,7,2,2,2,2,2,5,0,5,0,0,5,11,6,5,4,1,2,2,2,0
Classic Pro,4,gsmart,gigabyte,100.0,2016.0,10.0,2016.833333333333,5.0,13.0,1280.0,720.0,0.3333333333337123,3,4,1,1,4,4,0,10,1,2,3,4,4,4,4,1,0,7,2,11,0,7,7,7
E502,3,e502,moii,180.0,2012.0,9.0,2012.75,3.5,2.0,480.0,320.0,4.4166666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
Y625-U13,3,ascend y625,huawei,130.0,2015.0,4.0,2015.333333333333,5.0,8.0,854.0,480.0,1.8333333333337123,5,2,6,0,5,5,5,5,2,1,4,2,1,1,1,0,0,7,2,11,0,7,7,7
P-07D,3,eluga power,docomo,500.0,2012.0,5.0,2012.416666666667,5.0,8.1,1280.0,720.0,4.749999999999773,0,5,8,9,0,1,3,1,4,0,6,11,5,5,0,2,5,2,3,6,5,5,5,2
GT-S5303,3,galaxy y plus,samsung,150.0,2013.0,10.0,2013.833333333333,2.8,2.0,320.0,240.0,3.3333333333337123,1,1,0,11,2,2,2,2,3,5,0,3,0,0,8,8,3,5,5,8,3,1,4,1
W8555,3,w8555,philips,340.0,2013.0,11.0,2013.916666666667,5.0,13.0,1920.0,1080.0,3.2499999999997726,2,6,7,4,1,0,4,0,4,0,1,1,3,3,3,3,5,2,3,6,6,6,6,6
GT-I9128E,3,galaxy grand,samsung,370.0,2013.0,,2013.5,5.0,8.0,800.0,480.0,3.6666666666667425,0,5,8,9,6,6,6,6,4,0,6,6,5,5,0,2,5,2,3,6,6,6,6,6
Diamond V7,3,diamond v7,starmobile,120.0,2013.0,10.0,2013.833333333333,5.7,18.0,1280.0,720.0,3.3333333333337123,2,6,4,4,1,0,4,0,1,2,3,4,5,5,0,2,6,5,4,1,2,2,2,0
D393,3,f60,lg,100.0,2014.0,10.0,2014.833333333333,4.5,5.0,800.0,480.0,2.3333333333337123,5,2,6,11,2,2,2,2,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
SCH-R890,3,galaxy s4 mini,samsung,370.0,2013.0,,2013.5,4.3,8.0,960.0,540.0,3.6666666666667425,0,5,8,9,6,6,6,6,4,0,6,6,5,5,0,2,5,2,3,6,5,5,5,2
GT-I8558,3,galaxy win,samsung,170.0,2013.0,5.0,2013.416666666667,4.7,5.0,800.0,480.0,3.7499999999997726,1,1,0,11,0,3,1,7,3,5,0,5,5,5,0,10,6,5,5,8,3,1,4,1
A378t,3,a378t,lenovo,220.0,2013.0,6.0,2013.5,4.5,5.0,480.0,320.0,3.6666666666667425,1,1,0,11,0,1,3,1,3,5,0,5,0,0,5,11,6,5,4,8,3,1,4,1
XT321,3,defy mini,motorola,160.0,2012.0,,2012.5,3.2,3.15,480.0,320.0,4.6666666666667425,4,7,3,3,0,3,1,11,3,7,5,3,0,0,8,8,3,6,1,3,3,1,9,9
XT1025,3,moto e dual sim,motorola,90.0,2014.0,5.0,2014.416666666667,4.3,5.0,960.0,540.0,2.7499999999997726,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
A94,3,canvas mad,micromax,100.0,2014.0,1.0,2014.083333333333,4.5,5.0,854.0,480.0,3.0833333333337123,1,1,0,11,2,2,2,2,2,5,0,5,1,1,1,0,6,5,5,9,2,2,2,0
G906,3,g906,yxtel,550.0,2014.0,7.0,2014.583333333333,4.0,0.3,800.0,480.0,2.5833333333337123,0,0,5,5,6,6,6,6,4,0,6,11,0,7,7,7,4,1,3,5,5,5,5,2
Fire 2,3,fire 2,keneksi,80.0,2014.0,6.0,2014.5,4.5,8.0,960.0,540.0,2.6666666666667425,1,1,4,7,5,5,5,5,2,5,4,5,1,1,1,0,6,5,5,9,2,2,2,0
