MODEL, REACH, MARKETING_NAME, VENDOR, PRICE_RELEASED, YEAR_RELEASED, MONTH_RELEASED, TIME_RELEASED, DIAGONAL_SCREEN_SIZE, CAMERA_PIXELS, DISPLAY_HEIGHT, DISPLAY_WIDTH
SM-J700F,4501823,galaxy j7 duo,samsung,250,2015,6,2015.5,5.5,13,1280,720
SM-J200GU,3195986,galaxy j2,samsung,150,2015,9,2015.75,4.5,5,960,540
SM-J710F,2527806,galaxy j7 (2016),samsung,230,2016,4,2016.333333333333,5.5,13,1920,1080
SM-G7102,2140614,galaxy grand 2,samsung,180,2013,1,2013.083333333333,5.25,8,1280,720
A1601,1159735,f1s,oppo,300,2016,8,2016.666666666667,5.5,16,1280,720
GT-I8552B,1089479,galaxy win duos,samsung,170,2013,5,2013.416666666667,4.66,5,800,480
GT-N7100,1011722,galaxy note 2,samsung,300,2012,9,2012.75,5.5,8,1280,720
SM-N920C,944883,galaxy note 5,samsung,530,2015,8,2015.666666666667,5.7,16,2560,1440
GT-I8552,940541,galaxy win,samsung,170,2013,5,2013.416666666667,4.7,5,800,480
Smart 4G Speedy 4.0,899967,smart 4g speedy 4.0,true,80,2015,NULL,2015.5,4,5,480,800
SM-G610F,864316,galaxy j7 prime,samsung,280,2016,8,2016.666666666667,5.5,8,1920,1080
T00J,845082,zenfone 5,asus,130,2014,4,2014.333333333333,5,8,1280,720
SM-A500F,832356,galaxy a5,samsung,290,2014,11,2014.916666666667,5,13,1280,720
Smart Max 4.0,823073,smart max 4.0,true,80,2016,NULL,2016.5,4,5,NULL,NULL
N5111,791290,n1 mini,oppo,330,2014,8,2014.666666666667,5,13,1280,720
SM-G530F,789623,galaxy grand prime,samsung,150,2014,10,2014.833333333333,5,8,960,540
GT-I9082L,782188,galaxy grand,samsung,180,2013,1,2013.083333333333,5,8,800,480
GT-I9082,767704,galaxy grand,samsung,180,2013,1,2013.083333333333,5,8,800,480
F1f,750859,f1,oppo,230,2016,1,2016.083333333333,5,13,1280,720
IQ 5.8 DTV,747324,iq 5.8 dtv,i-mobile,NULL,2014,NULL,2014.5,5,8,960,540
SM-A710F,733993,galaxy a7 (2016),samsung,460,2015,12,2016,5.5,13,1920,1080
SM-N900,698117,galaxy note 3,samsung,420,2013,9,2013.75,5.7,13,1920,1080
Y55L (1603),679530,y55,vivo,NULL,2016,NULL,2016.5,5.2,8,1280,720
Iris 810,678729,iris 810,lava,80,2016,NULL,2016.5,5,5,854,480
SM-N910C,673458,galaxy note 4,samsung,550,2014,NULL,2014.5,5.7,16,2560,1440
SM-G935F,672268,galaxy s7 edge,samsung,600,2016,3,2016.25,5.5,12.2,2560,1440
SM-A700FD,653861,galaxy a7,samsung,370,2015,2,2015.166666666667,5.5,13,1920,1080
Iris 700,643998,iris 700,lava,80,2014,NULL,2014.5,4.5,5,960,540
A37f,621224,a37f,oppo,220,2016,6,2016.5,5,8,1280,720
GT-I9500,619570,galaxy s4,samsung,320,2013,4,2013.333333333333,5,13,1920,1080
Iris 600,596376,iris 600,lava,80,2015,NULL,2015.5,4.5,5,854,480
SM-G900F,584565,galaxy s5,samsung,480,2014,4,2014.333333333333,5.1,16,1920,1080
X9006,582454,find 7a,oppo,370,2014,3,2014.25,5.5,13,1920,1080
Iris 510,580781,iris 510,lava,80,2014,NULL,2014.5,4,5,800,480
Iris 550,578306,iris 550,ais,150,2015,4,2015.333333333333,4,5,800,480
SM-A910F,560721,galaxy a9 (2016),samsung,460,2015,1,2015.083333333333,6,13,1920,1080
SM-A510F,540345,galaxy a5,samsung,300,2015,12,2016,5.2,13,1920,1080
Y51,534519,y51,vivo,130,2015,12,2016,5,8,960,540
GT-I9152,521416,galaxy mega 5.8,samsung,280,2013,5,2013.416666666667,5.8,8,960,540
SM-J500G,514708,galaxy j5,samsung,160,2015,6,2015.5,5,13,1280,720
SM-G360H,513061,galaxy core prime duos,samsung,150,2014,11,2014.916666666667,4.5,5,800,480
Iris 360m,502470,iris 360 music,lava,80,2016,NULL,2016.5,3.5,2,480,320
SM-J100ML,497031,galaxy j1,samsung,110,2015,2,2015.166666666667,4.3,5,800,480
SM-G360HU,495187,galaxy core prime,samsung,150,2014,11,2014.916666666667,4.5,5,800,480
SM-A800F,489506,galaxy a8,samsung,270,2015,10,2015.833333333333,5.7,16,1920,1080
SM-E500H,478073,galaxy e5,samsung,240,2015,2,2015.166666666667,5,8,1280,720
Iris 708,456925,iris 708,lava,80,2015,NULL,2015.5,4.5,8,960,540
A33W,450913,neo 7,oppo,240,2015,11,2015.916666666667,5,8,960,540
1201,415838,1201,izoom,70,2014,8,2014.666666666667,4,2,800,400
GT-N5100,408426,galaxy note 8,samsung,320,2013,4,2013.333333333333,8,5,1280,800
R2001,386446,yoyo,oppo,200,2014,5,2014.416666666667,4.7,5,960,540
SM-G925F,378869,galaxy s6 edge,samsung,600,2015,4,2015.333333333333,5.1,16,2560,1440
SM-N9005,367117,galaxy note 3 4g lte,samsung,420,2013,9,2013.75,5.7,13,1920,1080
dtab 01,361230,mediapad 10 link,docomo,NULL,2013,NULL,2013.5,10.13,3.1,800,1280
Iris 750,341419,iris 750,,80,2015,NULL,2015.5,4.5,8,854,480
SM-J510FN,336682,galaxy j5,samsung,250,2016,4,2016.333333333333,5.2,13,1280,720
GT-S7582L,333457,galaxy trend pro dual,samsung,130,2013,12,2014,4,2,800,480
GT-I9300,321452,galaxy s3,samsung,300,2012,4,2012.333333333333,4.8,8,1280,720
GT-S7582,310667,galaxy s duos 2,samsung,130,2013,12,2014,4,5,800,480
Iris 800,309119,iris 800,lava,80,2015,NULL,2015.5,5,5,854,480
X9009,294935,r9,oppo,350,2016,3,2016.25,5.5,13,1920,1080
i-Style 7.7 DTV,294042,i-style 7.7 dtv,i-mobile,130,2014,NULL,2014.5,4,5,800,480
SM-E700F,291151,galaxy e7,samsung,270,2015,2,2015.166666666667,5.5,13,1280,720
A11w,273907,joy 3,oppo,130,2015,8,2015.666666666667,4.5,5,854,480
Smart 4.0,272017,smart 4.0,true,80,2014,NULL,2014.5,4,5,800,480
A33F,269511,neo 7,oppo,240,2015,11,2015.916666666667,5,8,960,540
A51f,268969,mirror 5s,oppo,220,2015,8,2015.666666666667,5,8,1280,720
SM-G920F,266560,galaxy s6,samsung,500,2015,4,2015.333333333333,5.1,16,2560,1440
SM-J120H,262830,galaxy j1 (2016),samsung,130,2016,1,2016.083333333333,4.5,5,854,480
ZB551KL,261706,zenfone go,asus,150,2015,5,2015.416666666667,5.5,13,1280,720
ZC550KL (Z010D),261552,zenfone max,asus,170,2016,5,2016.416666666667,5.5,13,1280,720
CAM-L21,258577,y6ii,huawei,140,2016,10,2016.833333333333,5.5,13,1280,720
SM-G355H,242467,galaxy core ii,samsung,130,2014,7,2014.583333333333,4.5,5,800,480
Y28,236893,y28,vivo,100,2015,12,2016,4.7,8,960,540
SM-G930F,235795,galaxy s7,orange,NULL,2016,NULL,2016.5,5.1,12.2,2560,1440
SM-G355M,232348,galaxy core 2 duos,samsung,130,2014,7,2014.583333333333,4.5,5,800,480
SM-T116NU,229046,galaxy tab 3 v,samsung,370,2015,NULL,2015.5,7,2,600,1024
Y31L,228362,y31l,vivo,130,2015,10,2015.833333333333,4.7,8,960,540
V3 Max,226566,v3 max,vivo,300,2016,4,2016.333333333333,5.5,13,1920,1080
GT-I9300T,226202,galaxy s3,samsung,300,2012,4,2012.333333333333,4.8,8,1280,720
D820,223154,nexus 5,google,270,2013,10,2013.833333333333,5,8,1920,1080
IQ1,218999,iq 1.1,i-mobile,NULL,2012,NULL,2012.5,4.5,8,960,540
Blade A110,214873,blade a110,zte,80,2016,2,2016.166666666667,5,8,1280,720
R831K,212042,neo 3,oppo,130,2014,8,2014.666666666667,4.5,5,854,480
Y21,210282,y21,vivo,NULL,2016,NULL,2016.5,4.5,5,854,480
SM-J105B,206558,galaxy j1 mini (2016),samsung,90,2016,2,2016.166666666667,4.3,5,800,480
Lenny 3,204595,lenny 3,wiko,NULL,2016,5,2016.416666666667,5,8,1280,720
R829,201310,r1,oppo,300,2013,12,2014,5,5,1280,720
SM-N7502,198911,galaxy note 3 neo dual sim,samsung,410,2014,2,2014.166666666667,5.5,8,1280,720
i-Style Q4,197068,i-style q4,i-mobile,130,2013,NULL,2013.5,4,8,800,480
SM-T111,196823,galaxy tab 3 lite 7.0 3g,samsung,190,2014,2,2014.166666666667,7,2,600,1024
Smart Speedy 4G 4.0,196394,smart speedy 4g 4.0,true,80,2015,NULL,2015.5,4,5,800,480
i-Style 2,196369,i-style 2,i-mobile,130,2012,NULL,2012.5,3.5,3,480,320
Iris 500,194691,iris 500,lava,80,2014,NULL,2014.5,5,5,854,480
SM-T116BU,193297,galaxy tab 3,samsung,370,2015,NULL,2015.5,7,3.15,600,1024
Smart 3.5 Touch,191722,smart 3.5 touch,true,80,2015,NULL,2015.5,3.5,3,480,320
ZE551ML (Z00AD),189808,zenfone 2,asus,500,2015,9,2015.75,5.5,13,1920,1080
SM-G361HU,188638,galaxy core prime,samsung,150,2014,11,2014.916666666667,4.5,5,800,480
Robby,182226,robby,wiko,NULL,2016,5,2016.416666666667,5.5,8,1280,720
Lenny 2,180940,lenny 2,wiko,NULL,2015,9,2015.75,5,5,854,480
Z00LD,180571,zenfone 2 laser (ze550kl),asus,220,2015,9,2015.75,5.5,13,1280,720
Y35,177941,y35,vivo,NULL,2015,7,2015.583333333333,5,13,1280,720
Iris 353,176993,iris 353,lava,80,2013,NULL,2013.5,3.5,2,480,320
Xshot,176934,xshot,vivo,NULL,2014,NULL,2014.5,5.2,13,1920,1080
IQ 5.7A,172153,iq 5.7a,i-mobile,NULL,2014,NULL,2014.5,5,12,960,540
R1001,171912,joy,oppo,100,2014,5,2014.416666666667,4,3.15,800,480
SM-A800I,171824,galaxy a8 duos,samsung,270,2015,10,2015.833333333333,5.7,16,1920,1080
Y15,170672,y15,vivo,NULL,2013,8,2013.666666666667,4.5,5,854,480
SM-P355,169784,sm-p355,samsung,210,2015,5,2015.416666666667,8,5,768,1024
EVA-L19,164153,p9,huawei,440,2016,4,2016.333333333333,5.2,12,1920,1080
SM-J500H,164001,galaxy j5,samsung,160,2015,6,2015.5,5,13,1280,720
SM-T285,163764,galaxy tab a 7.0,samsung,130,2016,3,2016.25,7,5,800,1280
Z00ED,162829,zenfone 2 laser,asus,210,2015,8,2015.666666666667,5.5,13,1280,720
CUN-L21,160823,y5ii,huawei,110,2016,6,2016.5,5,8,1280,720
R8006,158463,r1l,oppo,NULL,2014,NULL,2014.5,5,13,1280,720
IQ 9.2,157685,iq 9.2,i-mobile,NULL,2013,NULL,2013.5,6,18,1280,720
SM-G532,157333,galaxy grand prime (2016),samsung,140,2016,11,2016.916666666667,5,8,960,540
DMID1138L,155591,grand,estar,NULL,2015,NULL,2015.5,10.1,2,600,1024
A7000-a,154520,a7000,lenovo,530,2015,1,2015.083333333333,5.5,8,1280,720
Blade D6 Lite 3G,153898,blade d6 lite 3g,zte,80,2015,8,2015.666666666667,5,5,1280,720
R7kf,152597,r7 lite,oppo,250,2015,10,2015.833333333333,5,13,1280,720
SM-G928C,150786,galaxy s6 edge plus,samsung,530,2015,8,2015.666666666667,5.7,16,2560,1440
Blade Q3,150192,blade q3,zte,150,2015,5,2015.416666666667,4,5,800,480
GT-P3100,147677,galaxy tab 2 7.0,samsung,150,2012,4,2012.333333333333,7,3.15,1024,600
Jerry,143674,jerry,wiko,NULL,2016,NULL,2016.5,5,5,854,480
X9076,140901,find 7,oppo,370,2014,3,2014.25,5.5,13,2560,1440
SM-T231,138310,galaxy tab4 7.0 3g,samsung,240,2014,5,2014.416666666667,7,3.15,1280,800
IQ 5.1 Pro,134369,iq 5.1 pro,i-mobile,NULL,2013,NULL,2013.5,5.3,12,854,480
GT-I9200,132605,galaxy mega 6.3,samsung,300,2013,6,2013.5,6.3,8,1280,720
ZC500TG,131211,zenfone go,asus,130,2015,8,2015.666666666667,5,8,1280,720
GT-S7270L,127274,galaxy ace 3,samsung,130,2013,7,2013.583333333333,4,5,800,480
SM-T211,122592,galaxy tab 3,samsung,140,2013,7,2013.583333333333,7,3.15,1024,600
L110,121277,life view,blu,230,2013,4,2013.333333333333,5.7,12,1280,720
SM-G570F,120396,galaxy j5 prime duos,samsung,230,2016,10,2016.833333333333,5,13,1280,720
SM-T705,120342,galaxy tab s lte,samsung,200,2014,8,2014.666666666667,8.4,8,1600,2560
Nexus One,117894,nexus one,google,120,2010,1,2010.083333333333,3.82,NULL,800,480
GT-S7270,117545,galaxy ace 3,samsung,130,2013,7,2013.583333333333,4,5,800,480
A601CG (Z002),116655,zenfone 6,asus,200,2014,5,2014.416666666667,6,13,1280,720
ZD551KL (Z00UD),115713,zenfone selfie,asus,280,2015,8,2015.666666666667,5.5,13,1920,1080
T1-701u,113679,mediapad t1 7.0,huawei,100,2015,3,2015.25,7,2,1024,600
KII-L22,113388,gr5,huawei,NULL,2015,NULL,2015.5,5.5,13,1920,1080
GT-I8262,112671,galaxy core,samsung,160,2013,6,2013.5,4.3,5,800,480
SM-T715Y,112488,galaxy tab s2,samsung,370,2015,NULL,2015.5,8,8,1536,2048
SM-G313M,112266,galaxy ace 4,samsung,250,2014,8,2014.666666666667,4,5,800,480
Y37,112113,y37,vivo,NULL,2015,8,2015.666666666667,5.5,13,1280,720
A2010,110567,a2010,lenovo,70,2015,9,2015.75,4.5,5,854,480
SM-T111M,110535,galaxy tab 3 lite,samsung,190,2013,2,2013.166666666667,7,2,1024,600
GT-N8000,110053,galaxy note 10.1,samsung,370,2012,NULL,2012.5,10.1,5,800,1280
VIE-L29,105794,p9 plus,huawei,600,2016,5,2016.416666666667,5.5,12,1920,1020
V831W,105489,v831w,zte,NULL,2015,NULL,2015.5,4.5,8,854,480
Y31,104517,y31,vivo,130,2015,10,2015.833333333333,4.7,8,1280,720
R7sf,103837,r7s,oppo,260,2015,12,2016,5.5,13,1920,1080
IQ X,102261,iq x,i-mobile,NULL,2013,NULL,2013.5,4.7,18,1280,720
GT-S7562,102090,galaxy s duos,samsung,110,2012,9,2012.75,4,5,800,480
A450CG (T00Q),101726,zenfone 4,asus,100,2014,7,2014.583333333333,4.5,8,854,480
SM-G313HU,101028,galaxy s duos 3,samsung,250,2014,8,2014.666666666667,4,3.15,800,480
Pulp,97426,pulp,wiko,NULL,2015,10,2015.833333333333,5,13,1280,720
GT-P5100,97087,galaxy tab 2 10.1,samsung,250,2012,4,2012.333333333333,10.1,3.15,800,1280
One M8,94888,one m8,htc,350,2014,11,2014.916666666667,5,4,1920,1080
GT-I8262B,93780,galaxy s3 duos,samsung,160,2013,6,2013.5,3.89,5,800,480
R827,93515,find 5,oppo,240,2013,1,2013.083333333333,4.7,8,960,540
ZE550ML (Z008D),91703,zenfone 2,asus,250,2015,3,2015.25,5.5,13,1920,1080
Beyond Tab,91648,beyond tab,true,NULL,2013,NULL,2013.5,7,5,600,1024
A6000,91101,a6000,lenovo,140,2015,10,2015.833333333333,5,8,1280,720
GT-P3100B,90041,galaxy tab 2,samsung,150,2012,4,2012.333333333333,7,3.15,600,1024
X5Pro D,88084,x5pro d,vivo,NULL,2015,6,2015.5,5.2,13,1920,1080
SM-G318HZ,87975,galaxy tab 3,samsung,370,2013,NULL,2013.5,8,5,800,1280
SM-T110,87831,galaxy tab 3 lite 7.0 wifi,samsung,150,2014,2,2014.166666666667,7,2,600,1024
SM-G530FZ,87533,galaxy grand prime,samsung,150,2014,10,2014.833333333333,5,8,960,540
SM-G850F,86961,galaxy alpha,samsung,450,2014,9,2014.75,4.7,12,1280,720
VNS-L22,85183,p9 lite,huawei,280,2016,4,2016.333333333333,5.2,13,1080,1920
LUA-L21,82285,y3 ii,huawei,80,2016,6,2016.5,4.5,5,854,480
ZC451CG (Z007),82043,zenfone c,asus,90,2015,2,2015.166666666667,4.5,5,854,480
T00I,81637,zenfone 4,asus,100,2014,7,2014.583333333333,4,5,800,480
R815T,80668,clover,oppo,100,2013,4,2013.333333333333,4.3,5,800,480
A680,80408,a680,lenovo,110,2013,6,2013.5,5,5,854,480
R8106,79677,r5,oppo,200,2015,8,2015.666666666667,5.2,13,1920,1080
ZC520TL (X008D),79352,zenfone 3 max,asus,230,2016,8,2016.666666666667,5.2,13,1280,720
X3S,77138,x3s,vivo,NULL,2014,NULL,2014.5,5,13,1280,720
Pulp Fab 4G,75237,pulp fab 4g,wiko,NULL,2015,11,2015.916666666667,5.5,13,1280,720
SM-G318MZ,74329,galaxy v plus,samsung,370,2015,NULL,2015.5,4,3.15,800,480
IQ 9.1,72892,iq 9.1,i-mobile,NULL,2013,NULL,2013.5,5.7,5,1280,720
I5-77,72354,i5-77,mcphone,240,2012,6,2012.5,4,5,854,480
IQ 6.3,72304,iq 6.3,i-mobile,NULL,2014,NULL,2014.5,5,18,1280,720
Y22,72124,y22,vivo,NULL,2013,NULL,2013.5,4.5,8,854,480
Nexus 6,71237,nexus 6,google,420,2014,11,2014.916666666667,5.96,13,2560,1440
Iris 456,70886,iris 456,lava,80,2013,2,2013.166666666667,4.5,5,854,480
Y27,69854,y27,vivo,NULL,2014,12,2015,4.7,8,1280,720
SM-G750F,69445,galaxy mega 2,samsung,340,2014,9,2014.75,6,13,1280,720
RM-914,68371,lumia 520,nokia,70,2013,4,2013.333333333333,4,5,800,480
Desire 816,67210,desire 816,htc,250,2014,5,2014.416666666667,5.5,13,1280,720
IQ 510,67001,iq 510,i-mobile,NULL,2014,NULL,2014.5,4.7,12,1280,720
GT-N7000,66690,galaxy note,samsung,270,2011,10,2011.833333333333,5.3,8,1280,800
Smart 3.5,66363,smart 3.5,true,80,2014,NULL,2014.5,3.5,2,480,320
ALE-L02,66316,p8 lite,huawei,NULL,2015,NULL,2015.5,5,13,1280,720
IQ 1058,65798,iq x bliz,i-mobile,NULL,2014,NULL,2014.5,5.5,18,1920,1080
IQ X3,65643,iq x3,i-mobile,NULL,2013,NULL,2013.5,5,18,1920,1080
i-Tab Fun 7008,65343,i-tab fun 7008,i-mobile,NULL,2014,NULL,2014.5,7,5,600,1024
Iris 505,65044,iris 505,lava,100,2013,8,2013.666666666667,5,5,854,480
A2020a40,64911,vibe c,lenovo,70,2016,9,2016.75,5,5,854,480
A859,64650,a859,lenovo,140,2014,4,2014.333333333333,5,8,1280,720
U707,63995,find way s,oppo,370,2013,3,2013.25,5.5,8,1280,720
P1ma40,63928,vibe p1m,lenovo,110,2015,10,2015.833333333333,5,8,1280,720
Iris 405+,63377,iris 405+,lava,70,2014,12,2015,4,5,800,480
Desire Eye,63293,desire eye,htc,380,2014,11,2014.916666666667,5.2,13,1920,1080
i-Style 7.1,63110,i-style 7.1,i-mobile,130,2012,NULL,2012.5,4,5,800,480
FE170CG (K012),60945,fonepad 7,asus,100,2014,5,2014.416666666667,7,2,600,1024
R831L,60055,neo 5,oppo,70,2014,8,2014.666666666667,4.5,5,854,480
NetCast Smart TV,59463,netcast smart tv,lg,80,2011,NULL,2011.5,NULL,NULL,NULL,NULL
i-Style 710,59121,i-style 710,i-mobile,130,2014,NULL,2014.5,4.5,8,854,480
H30-U10,59019,honor 3c,huawei,200,2013,6,2013.5,5,8,1280,720
SM-P555,58731,galaxy tab a,samsung,370,2015,NULL,2015.5,9.699999999999999,5,768,1024
Blade L3,58244,blade l3,zte,100,2014,4,2014.333333333333,5,8,854,480
R7 Plus F,57882,r7 plus f,oppo,430,2015,5,2015.416666666667,6,13,1920,1080
GT-I9100,55639,galaxy s2,samsung,260,2011,7,2011.583333333333,4.3,8,800,480
Blade C310,54213,blade c310,zte,80,2014,2,2014.166666666667,3.5,2,480,320
Ridge,54100,ridge,wiko,NULL,2015,3,2015.25,5.5,13,1280,720
Z520,52738,liquid z520,acer,130,2015,4,2015.333333333333,5,8,854,480
N5206,52593,n3 dual sim,oppo,550,2014,1,2014.083333333333,5.5,16,1920,1080
MHU001D,52211,monster high mhu001d,ingo,NULL,2013,NULL,2013.5,7,0.3,480,800
A7010a48,51956,vibe k4 note,lenovo,190,2016,1,2016.083333333333,5.5,13,1920,1080
R821,51190,find muse,oppo,290,2013,NULL,2013.5,4,3.2,800,480
TWD MID,50982,twd mid,china tablet,NULL,2012,NULL,2012.5,9,0.3,480,800
Gxq6580 Weg l,50885,galaxy s7 edge clone,alps,NULL,2016,NULL,2016.5,5.5,5,NULL,NULL
IQ 5.5,50747,iq 5.5,i-mobile,NULL,2014,NULL,2014.5,5,12,960,540
3006,50109,3006,oppo,270,2014,1,2014.083333333333,4.7,8,1280,720
Mini,50107,mini,opera,NULL,2016,1,2016.083333333333,4,2,800,480
GT-I8190N,49839,galaxy s3 mini,samsung,130,2012,11,2012.916666666667,4,5,800,480
R831,49563,neo,oppo,70,2014,8,2014.666666666667,4.5,5,854,480
SM-P601,48675,galaxy note 10.1,samsung,370,2014,NULL,2014.5,10.1,8,1600,2560
SM-N915F,47581,galaxy note edge,samsung,650,2014,11,2014.916666666667,5.6,16,2560,1600
D6503,47299,xperia z2,sony,330,2014,7,2014.583333333333,5.2,20.7,1920,1080
D802,46899,g2,lg,270,2013,9,2013.75,5.2,13,1920,1080
One,46517,one,cubot,350,2015,11,2015.916666666667,5.5,21,2560,1440
RM-978,46191,lumia 630,nokia,NULL,2014,NULL,2014.5,4.5,5,854,480
GT-I9505,45798,galaxy s4 lte,samsung,330,2013,4,2013.333333333333,5,13,1920,1080
Blade D6 Lite 4G,45351,blade d6 lite 4g,zte,80,2015,8,2015.666666666667,5,8,1280,720
FE171CG (K01N),45085,fonepad 7,asus,160,2014,1,2014.083333333333,9.4,1.8,800,1280
GT-P6800,44992,galaxy tab 7.7,samsung,280,2011,12,2012,7.7,NULL,1280,800
Redmi Note 3,44916,redmi note 3,xiaomi,220,2015,2,2015.166666666667,5.5,5,1920,1080
ZB452KG (X014D),44440,zenfone go 4.5 plus ,asus,90,2016,4,2016.333333333333,4.5,5,854,480
SM-T805,44388,galaxy tab s,samsung,370,2014,NULL,2014.5,10.5,8,1600,2560
A7020a48,44213,vibe k5 note,lenovo,190,2015,1,2015.083333333333,5.5,13,1920,1080
Y541-U02,43519,honor bee,huawei,70,2015,5,2015.416666666667,4.5,8,854,480
Blade S6,43237,blade s6,zte,280,2015,4,2015.333333333333,5,13,1280,720
A1000,42093,a1000,lenovo,100,2015,9,2015.75,4,5,800,480
Z012DB,41995,zenfone 3,asus,NULL,2016,NULL,2016.5,5.9,12,1280,720
IQ 1.1,41983,iq 1.1,i-mobile,NULL,2013,NULL,2013.5,4.5,8,960,540
IQ 6,41871,iq 6,i-mobile,NULL,2013,NULL,2013.5,5,12,1280,720
A536,41457,a536,lenovo,100,2014,12,2015,5,5,854,480
Z170CG (P01Y),41406,zenpad c7.0,asus,140,2015,7,2015.583333333333,7,5,600,1024
IQ BIG,40716,iq big,i-mobile,NULL,2015,NULL,2015.5,5,18,1280,720
SM-T815Y,40537,galaxy tab s2 9.7,samsung,520,2015,9,2015.75,9.699999999999999,8,1536,2048
RIO-L02,40499,g8 premium edition,huawei,340,2015,10,2015.833333333333,5.5,13,1920,1080
i-Style 217,39691,i-style 217,i-mobile,130,2015,NULL,2015.5,4,2,800,480
T1-821L,39387,mediapad t1 8.0,huawei,150,2016,9,2016.75,8,5,1280,800
Y625-U43,38230,ascend y625,huawei,130,2015,4,2015.333333333333,5,8,854,480
R819,38156,r819,oppo,250,2013,9,2013.75,4.7,8,1280,720
IQ 9,37588,iq 9,i-mobile,NULL,2013,NULL,2013.5,5.7,18,1280,720
E960,36873,nexus 4,google,250,2012,11,2012.916666666667,4.7,8,1280,768
RM-941,35842,lumia 625,nokia,160,2013,8,2013.666666666667,4.7,5,800,480
RM-1013,35588,x2 dual sim,nokia,90,2014,7,2014.583333333333,4.3,5,800,480
C6602,35013,xperia z,sony,270,2013,2,2013.166666666667,5.01,13.1,1920,1080
i-Style 2.4A,34780,i-style 2.4a,i-mobile,130,2014,NULL,2014.5,4,5,800,480
E6853,34141,xperia z5 premium,sony,500,2015,11,2015.916666666667,5.5,23,3840,2160
NXT-L29,34046,mate 8,huawei,430,2015,11,2015.916666666667,6,16,1920,1080
E6653,33882,xperia z5,sony,410,2015,10,2015.833333333333,5.2,23,1920,1080
GT-I9190,33848,galaxy s4 mini,samsung,230,2013,7,2013.583333333333,4.3,8,960,540
D855,33654,g3,lg,300,2014,6,2014.5,5.5,13,2560,1440
Xplay3S,33015,xplay3s,vivo,NULL,2013,NULL,2013.5,6,13,2560,1440
SM-T719Y,32931,galaxy tab s2 ve 8.0 4g,samsung,370,2016,NULL,2016.5,8,8,2048,1536
ZE500CL (Z00D),32916,zenfone 2,asus,180,2015,3,2015.25,5,13,1280,720
E5653,32906,xperia m5,sony,270,2015,9,2015.75,5,21.2,1920,1080
IQ 5.1A,32448,iq 5.1a,i-mobile,NULL,2013,NULL,2013.5,5.3,12,854,480
i-Style 7.5,32335,i-style 7.5,i-mobile,130,2013,NULL,2013.5,4.5,5,854,480
FL02,32291,plus 2,flash,NULL,2016,NULL,2016.5,5.5,14,1920,1080
D6653,32281,xperia z3,sony,340,2014,6,2014.5,5.2,20.7,1920,1080
Smart TV,31804,smart tv,philips,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
T02A,31715,t02a,eken,NULL,2011,NULL,2011.5,7,0.3,480,800
ZE601KL,31648,zenfone 2 laser,asus,300,2015,12,2016,6,13,1920,1080
RM-821,31418,lumia 920,nokia,210,2012,11,2012.916666666667,4.5,8,1280,768
A5000,30838,ideatab a5000,lenovo,430,2014,4,2014.333333333333,7,8,1024,600
C6902,30783,xperia z1,sony,330,2013,9,2013.75,5,20.7,1920,1080
E5553,30712,xperia c5 ultra,sony,310,2015,8,2015.666666666667,6,13,1920,1080
GT-I8190T,30510,galaxy s3 mini,samsung,130,2013,11,2013.916666666667,4,5,800,480
H818,30453,g4,lg,380,2015,5,2015.416666666667,5.5,16,2560,1440
GT-I9100T,30430,galaxy s2,samsung,260,2011,7,2011.583333333333,4.3,8,800,480
SM-T311,30228,galaxy tab 3 8.0,samsung,270,2013,7,2013.583333333333,8,5,1280,800
IdeaTab A3000-H,30029,ideatab a3000-h,lenovo,90,2013,1,2013.083333333333,7,5,600,1024
i-Style 7.3,29999,i-style 7.3,i-mobile,130,2013,NULL,2013.5,4.5,5,854,480
Rainbow,29622,rainbow,wiko,NULL,2014,8,2014.666666666667,5,8,1280,720
M2 Note,29379,blue charm note 2,meizu,200,2015,6,2015.5,5.5,13,1920,1080
F3116,29109,xperia xa dual,sony,300,2016,6,2016.5,5,13,1280,720
Ridge Fab,28974,ridge fab,wiko,NULL,2015,3,2015.25,5.5,13,1280,720
SM-C111,28499,galaxy k zoom,samsung,440,2014,6,2014.5,4.8,20.7,1280,720
Blade V6,28358,blade v6,zte,80,2015,8,2015.666666666667,5,13,1280,720
SCL-U23,28219,y6,huawei,140,2015,10,2015.833333333333,5,8,1280,720
V815W,28149,blade 3,zte,70,2014,2,2014.166666666667,4,5,800,480
Z150,27674,liquid z5,acer,150,2014,10,2014.833333333333,5,5,854,480
D690,27332,g3 stylus,lg,240,2014,10,2014.833333333333,5.5,13,960,540
Blade V0720,27282,blade v7 lite,zte,120,2016,2,2016.166666666667,5,13,1280,720
GT-I8160L,27102,galaxy ace 2,samsung,130,2012,5,2012.416666666667,3.8,5,800,480
7049D,26805,onetouch flash 2,alcatel,NULL,2015,NULL,2015.5,5,13,1280,720
Lumia 535,26569,lumia 535,microsoft,80,2014,12,2015,5,5,960,540
ZE500KG (Z00RD),26420,zenfone 2 laser,asus,200,2015,10,2015.833333333333,5,13,1280,720
SHV-E250S,26290,galaxy note 2,samsung,450,2012,4,2012.333333333333,5.5,8,1280,720
V830,26091,blade g lux,zte,100,2014,2,2014.166666666667,4.5,5,854,480
